Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,No rep.,Moyenne,Question
Total,Total,5979.002,0.565,0.20351473372980974,0.1749999,0.19460638999999982,0.085,0.08566324,0.06799449,0.04227208999999999,0.08624172,0.05279545,0.06638752,0.08433185,0.042683799999999994,0.13447033,0.05190144,0.00565168,4.504787,"q21v13b_i3. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- S'abstenir est un bon moyen de protester contre l'offre politique"
Gender,Man,2929.637,0.5900546723024046,0.1749999,0.17913400192583584,0.21823759999999992,0.08998477000000002,0.09109565,0.07259814,0.04218475,0.07636383,0.054999900000000004,0.05262106,0.06969607,0.04326516,0.13586881,0.04763102,0.005453239999999999,4.27385,"q21v13b_i3. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- S'abstenir est un bon moyen de protester contre l'offre politique"
Gender,Woman,3049.36,0.5346111971036545,0.22828901802345408,0.1749999,0.17246074999999997,0.08004621,0.08044419,0.06357163,0.0423561,0.09573191999999998,0.05028249,0.07961359,0.09839304,0.04212527,0.13312705,0.056004280000000004,0.00584235,4.728727,"q21v13b_i3. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- S'abstenir est un bon moyen de protester contre l'offre politique"
Age,18-24,478.2759,0.48512040853407,0.25839457936308313,0.18033062088221463,0.16094967000000004,0.07499990000000001,0.07605355,0.05720807,0.028507229999999998,0.08786429,0.049797089999999995,0.07924217,0.12935517,0.03774652,0.14258408,0.0649999,0.010692359999999998,4.986691,"q21v13b_i3. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- S'abstenir est un bon moyen de protester contre l'offre politique"
Age,25-34,836.9062,0.445,0.2995016645831994,0.18458078097641048,0.1399998,0.05632934,0.059592099999999995,0.07007948,0.05078937,0.06789414,0.09221483,0.0793163,0.12797061,0.060631300000000006,0.12394937,0.05830229,0.012930979999999998,5.217483,"q21v13b_i3. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- S'abstenir est un bon moyen de protester contre l'offre politique"
Age,35-49,1494.556,0.5197326162418805,0.21911276660091691,0.2013377886141436,0.15727045,0.08226624000000002,0.07791752,0.06405255,0.03593905,0.10228697,0.05274155,0.06553655,0.1008347,0.04074884,0.1605889,0.05298822,0.00682797,4.935167,"q21v13b_i3. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- S'abstenir est un bon moyen de protester contre l'offre politique"
Age,50-64,1554.412,0.5735404770421226,0.18048426028620468,0.19662386806072008,0.19190065999999995,0.0849999,0.07554535,0.07330708,0.04947735000000001,0.09830888,0.04937596,0.07109241,0.06001583,0.04794841,0.14867538,0.04628373,0.00306906,4.563376,"q21v13b_i3. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- S'abstenir est un bon moyen de protester contre l'offre politique"
Age,65+,1614.848,0.672758055247305,0.14524784995244136,0.1312417639307229,0.27113623,0.10438469,0.11892896,0.06864318,0.04086059000000001,0.06880456,0.03659566,0.0521388,0.05651346,0.03156791,0.09967384,0.048969519999999996,0.00178354,3.553487,"q21v13b_i3. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- S'abstenir est un bon moyen de protester contre l'offre politique"
Socio-Professional Category,Total-CSP+,1734.019,0.565,0.2149999,0.1849999,0.19695557000000002,0.08744218000000001,0.08223174,0.07140966,0.04680781,0.07720417,0.06242498,0.06409716,0.08986401,0.05363778,0.13457528,0.0272123,0.006137379999999999,4.562168,"q21v13b_i3. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- S'abstenir est un bon moyen de protester contre l'offre politique"
Socio-Professional Category,Small Business owners,212.9949,0.5090581981070909,0.20708880822968062,0.2667616454666285,0.18100996,0.06120433,0.09859457,0.07606436,0.02978625,0.06213355,0.05029463,0.05884539999999999,0.09794877999999999,0.06202641,0.205,0.01383122,0.00326054,5.106544,"q21v13b_i3. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- S'abstenir est un bon moyen de protester contre l'offre politique"
