insee_code,commune_name,percent_low_or_no_education_year_2020,percent_bepc_brevet_year_2020,percent_cap_bep_year_2020,percent_masters_year_2020,percent_bachelor_year_2020,percent_two_years_university_year_2020,percent_highschool_year_2020
01001,L'Abergement-Clémenciat,15.4,5.2,29.5,6.4,9.7,13.7,20.2
01002,L'Abergement-de-Varey,9.8,2.9,20.9,13.2,15.2,15.9,22.2
01004,Ambérieu-en-Bugey,20.4,6.3,27.4,7,7.6,12.8,18.5
01005,Ambérieux-en-Dombes,17.5,5.5,29.2,6.6,7.9,14.1,19.3
01006,Ambléon,19.8,7.9,27.7,5.9,10.9,11.9,15.8
01007,Ambronay,14.5,4.4,30.9,7.3,8.8,14.2,19.8
01008,Ambutrix,13.7,4.2,32.8,6.8,7.5,15.7,19.3
01009,Andert-et-Condon,14,7.3,32.8,8.5,9.3,12.4,15.9
01010,Anglefort,22.2,5.8,33.9,3.5,5.8,9.5,19.4
01011,Apremont,19.2,3.7,26.7,5.9,11,14.3,19.1
01012,Aranc,25.6,5.3,27.6,4.1,8.5,13.4,15.5
01013,Arandas,21.3,6.5,38.9,1.9,5.6,8.3,17.6
01014,Arbent,35.2,5,25.4,3.3,6,9,16.1
01015,Arboys en Bugey,17.1,4.7,31.9,7.2,9.1,12.2,17.8
01016,Arbigny,19.2,6.3,34.8,2.1,7.5,12.9,17.1
01017,Argis,16.9,9.2,30.6,3.7,5.4,13.9,20.5
01019,Armix,13,4.3,47.8,0,0,4.3,30.4
01021,Ars-sur-Formans,14.6,4.9,26.8,7.6,10.9,15,20.2
01022,Artemare,20.8,5.2,35.2,4.1,7.2,10.1,17.4
01023,Asnières-sur-Saône,17.9,5.4,42.9,7.1,5.4,10.7,10.7
01024,Attignat,16.6,4.6,34.2,4.4,8.3,13.6,18.4
01025,Bâgé-Dommartin,19.8,4.4,29.7,5.2,7.9,14.1,18.9
01026,Bâgé-le-Châtel,26.3,4.2,33.5,4.1,6.8,9.1,16.1
01027,Balan,11.6,8.7,29,5.5,5.8,12.2,27.1
01028,Baneins,18.7,3.5,35.5,4.8,8.1,10.1,19.4
01029,Beaupont,31.3,6.1,31.8,2.1,4,7.6,17.1
01030,Beauregard,19.8,5.8,29.4,7.2,7.2,9.3,21.3
01031,Bellignat,34.5,4.6,23.6,3.5,6.8,8.9,18
01032,Béligneux,16.8,6.8,29.1,7.2,7.8,12.2,20
01033,Valserhône,25.8,5.7,28.5,6.6,7,10.1,16.4
01034,Belley,26.5,6.3,25.6,6.9,7.7,10.1,16.9
01035,Belleydoux,15.7,5,25.2,10.7,12,13.2,18.2
01036,Valromey-sur-Séran,12,5.4,26,9.9,12.2,13.7,20.8
01037,Bénonces,12.6,5.7,29.7,7.5,9.6,12.1,22.7
01038,Bény,16.3,3.4,30.6,6.3,7.9,15,20.5
01040,Béréziat,15.3,4,35.8,1.7,8.1,11.6,23.4
01041,Bettant,17.1,6.3,31.5,5.5,8.2,11.4,20
01042,Bey,10.7,3.9,33.5,7.2,9.1,12.7,22.9
01043,Beynost,13.1,5.5,22.2,17.1,11,14.5,16.6
01044,Billiat,17.5,6.9,34.3,5.3,7.4,12.3,16.3
01045,Birieux,17.5,2.1,29.7,9,13.2,13.7,14.8
01046,Biziat,20.2,4,34.9,3.5,6.5,11.6,19.3
01047,Blyes,11.6,2.9,24.2,11.8,11.8,16.2,21.5
01049,La Boisse,17,4.5,26.7,10.3,9.2,14.6,17.8
01050,Boissey,23.8,3.5,29.7,3.5,4.7,10.5,24.2
01051,Bolozon,19.5,5.2,36.4,0,3.9,13,22.1
01052,Bouligneux,18.6,6.3,20.2,9.5,8.3,16.6,20.5
01053,Bourg-en-Bresse,24.9,6,24.2,7.5,9.8,10.2,17.4
01054,Bourg-Saint-Christophe,13,4.2,24.8,12,10.3,14.6,21.2
01056,Boyeux-Saint-Jérôme,23.6,2.4,29.1,5.5,5.1,16.2,18.1
01057,Boz,19.7,5.1,32.4,3.8,9.5,12.2,17.3
01058,Brégnier-Cordon,17.2,6.2,29.9,6.1,7.7,11.2,21.7
01060,Brénod,18.8,6.2,29.6,5.2,9.7,13.7,16.8
01061,Brens,14.4,4.8,32.6,5.6,8.8,12.4,21.4
01062,Bressolles,14.3,4.4,19.8,13.2,11.6,14.3,22.3
01063,Brion,20.3,4.9,28.5,6.4,10.2,11.6,18.1
01064,Briord,14.9,8.3,39.8,2.4,5.8,10.7,18
01065,Buellas,13,3.8,28.8,9,10.9,14.7,19.7
01066,La Burbanche,16.9,12.3,36.9,7.7,13.8,0,12.3
01067,Ceignes,9.7,5.1,40.6,7.8,8.3,14.9,13.4
01068,Cerdon,27,4.3,29.3,5.8,5.2,11.5,17
01069,Certines,13.7,3.9,34.2,6.9,7.9,13.2,20.2
01071,Cessy,10.3,4.1,24.2,19.9,13.3,10.8,17.5
01072,Ceyzériat,16.7,5.9,25.4,10.6,9.6,15.4,16.2
01073,Ceyzérieu,15.8,4.5,30.4,9.1,9.1,11.1,20
01074,Chalamont,19.1,4.6,30.9,7.2,6.8,11.8,19.6
01075,Chaleins,17.6,4.4,30.7,6.9,7.5,13.3,19.5
01076,Chaley,33.9,7.1,28.6,6.3,1.8,6.3,16.1
01077,Challes-la-Montagne,9.3,2.1,35,12.9,10,12.1,18.6
01078,Challex,11.9,3.4,25.3,17.4,12.3,10.4,19.3
01079,Champagne-en-Valromey,24.2,4.5,32.9,5.7,8.2,12.6,11.8
01080,Champdor-Corcelles,23.2,4.9,32,3.8,8.2,12.6,15.3
01081,Champfromier,18,5,26.4,4,10.2,13.8,22.5
01082,Chanay,16.4,3.8,33.1,8.2,11.1,11.1,16.4
01083,Chaneins,13.8,3.9,32.3,4.7,10.1,13.2,22
01084,Chanoz-Châtenay,17.3,3.7,31.3,5,10.4,14,18.4
01085,La Chapelle-du-Châtelard,13,4.5,26.4,7.5,8.9,16.7,23
01087,Charix,16.7,6.3,30.6,6.7,10,17.4,12.3
01088,Charnoz-sur-Ain,11.7,7.4,27.4,9.7,10.4,16.6,16.9
01089,Château-Gaillard,15.4,5.6,31.3,5.3,7.4,15.1,19.8
01090,Châtenay,14.2,4.2,33.6,7.6,8.4,12.6,19.4
01092,Châtillon-la-Palud,15.8,4.3,29.3,6.5,9.4,14.5,20.2
