insee_code,commune_name,percent_main_housing_year_2020,percent_secondary_housing_year_2020,percent_main_housing_year_2020,percent_vacant_year_2020,percent_single_family_home_year_2020,percent_homeownership_year_2020,percent_renting_year_2020,percent_social_housing_year_2020
01001,L'Abergement-Clémenciat,89.8,4.5,5.7,2.2,97.4,85.7,13.8,3.9
01002,L'Abergement-de-Varey,63.2,27.9,8.8,1,99,88,9.8,0
01004,Ambérieu-en-Bugey,88.5,1.6,9.9,57.6,41.5,41.6,56.6,22.2
01005,Ambérieux-en-Dombes,88.5,0.8,10.7,25.8,73.8,73.4,24.9,9.2
01006,Ambléon,74.8,14.4,10.8,4.4,95.6,71.9,26.3,1.8
01007,Ambronay,92.7,3.3,4,15.1,84.8,73.2,26,9.1
01008,Ambutrix,91,1.7,7.3,8.8,91.2,74.4,24,5
01009,Andert-et-Condon,75.9,12.6,11.5,6.4,93.1,86.8,13.2,0
01010,Anglefort,78.5,13.2,8.3,10,89.7,77.5,22.1,8.6
01011,Apremont,80.2,11.2,8.5,12.5,86.9,80.6,18.1,7.1
01012,Aranc,67.7,23.1,9.2,6.9,93.1,81.6,13.6,5.4
01013,Arandas,54.1,31.2,14.7,1.7,97.4,87.3,9.5,3.2
01014,Arbent,92.3,0.6,7.1,33.8,65,60.9,37.7,26.5
01015,Arboys en Bugey,71.6,17.9,10.5,2,97.5,80.8,16.4,0.7
01016,Arbigny,84.7,7.9,7.4,0.9,98.6,89.1,8.7,1.6
01017,Argis,61.7,16.4,21.9,14.7,81.7,83.4,11.3,1.1
01019,Armix,46.4,50,3.6,3.6,96.4,76.9,15.4,0
01021,Ars-sur-Formans,92.2,2.6,5.2,18.1,81.9,73,25.5,5.5
01022,Artemare,79,5.5,15.5,27.8,71.6,62.5,34.7,12.4
01023,Asnières-sur-Saône,73.9,15.2,10.9,0,95.7,82.4,14.7,0
01024,Attignat,93.6,0.9,5.5,18.6,81.3,73.5,25.8,6.2
01025,Bâgé-Dommartin,92.4,1.4,6.2,4.4,95.3,83.3,15.6,3.9
01026,Bâgé-le-Châtel,92.9,1.7,5.4,31.1,68.7,58.7,40.6,9.6
01027,Balan,93.9,0.5,5.6,20,79.2,70.3,28.1,7.8
01028,Baneins,91.1,2.6,6.3,4.8,95.2,85.4,13.8,1.2
01029,Beaupont,83.4,8,8.6,6.4,93.6,78.5,20.7,7.3
01030,Beauregard,83.1,1.8,15.1,39,59.9,51.4,46.7,20.1
01031,Bellignat,91.4,1.5,7.2,60.5,33.9,37,61,40.1
01032,Béligneux,93.9,2,4.1,26.9,72.4,54.7,43.9,20.2
01033,Valserhône,84.2,2.9,13,62.7,36.9,47.5,50.6,26.4
01034,Belley,84.4,2.8,12.8,55.1,43.7,45.9,49.9,21.7
01035,Belleydoux,62.4,29.9,7.7,8.5,85.5,83.6,15.1,3.4
01036,Valromey-sur-Séran,63.6,33.5,2.9,4,95.8,81.5,17,4.1
01037,Bénonces,67.4,21.5,11.1,4,95.5,76.8,20.2,0
01038,Bény,92.4,3.8,3.8,10.1,89.3,81.5,17.9,5.9
01040,Béréziat,85.8,4.6,9.6,11,89,88.3,10.6,0
01041,Bettant,83.7,3.6,12.7,9.7,90.3,78.4,21.3,5.1
01042,Bey,91.5,2.6,5.9,2.6,97.4,85.9,13.4,8.1
01043,Beynost,92.9,1.2,6,19.8,79.5,77.5,21.4,5.4
01044,Billiat,77,6.7,16.3,31.1,68.9,63.9,33.5,14
01045,Birieux,85.7,10.1,4.2,7.6,91.6,73.5,25.5,0
01046,Biziat,90.8,4.1,5.1,3.8,95.4,80.3,17.9,3.3
01047,Blyes,94.1,2.5,3.3,8,91.6,76.5,22.7,7.9
01049,La Boisse,94.2,1.2,4.6,15.8,83.9,76.3,21.4,8.1
01050,Boissey,86.9,9.4,3.8,4.4,95.6,83.5,15.8,0
01051,Bolozon,50.6,44.9,4.5,0,100,75.6,24.4,4.4
01052,Bouligneux,91.8,6.1,2,6.8,93.2,74.1,25.2,0.7
01053,Bourg-en-Bresse,87.1,2.5,10.4,78.1,21.1,36.8,61.1,30.5
01054,Bourg-Saint-Christophe,94.5,1.8,3.7,5.7,94.3,81.8,17.4,1.1
01056,Boyeux-Saint-Jérôme,65.9,21.2,12.8,0,100,86.6,8.7,0
01057,Boz,89.3,5.6,5.2,3.9,95.7,80.8,17.3,2.4
01058,Brégnier-Cordon,82.8,6.8,10.4,8.7,91.3,81,19,3.8
01060,Brénod,64.3,22,13.7,18.9,80,70.2,26.8,4.6
01061,Brens,89.2,6.6,4.2,1.7,97.7,90.3,8.6,0
01062,Bressolles,90.4,2.3,7.3,13,87,72.9,26,1.7
01063,Brion,92.1,1.1,6.8,21.4,78.2,74.1,24.4,10.3
01064,Briord,85.7,7.9,6.4,7.5,92.3,70.8,25.6,12.2
01065,Buellas,95.8,1,3.1,11.6,88.2,76.3,23.2,10.9
01066,La Burbanche,44.6,55.4,0,2.2,97.8,80.5,14.6,0
01067,Ceignes,82.3,8.5,9.2,5.3,94.7,68.4,28.9,11.2
01068,Cerdon,72.9,12,15.1,12.7,86.4,71.8,23.4,4.2
01069,Certines,95.5,0.9,3.6,24,75.4,69.5,28.8,14.2
